country	lat	lon	totalPop	femalePop	area	gdppc	code
Australia	-27.2692649	136.1048783	22299800	50	7741220	37909	AUS
Brunei Darussalam	4.4137155	114.5653908	398920	49	5770	50409	BRN
Cambodia	13.5066394	104.869423	14138255	51	181040	2180	KHM
China	35.000074	104.999927	1337825000	48	9600000	7553	CHN
Fiji	-18.1239696	179.0122737	860623	49	18270	4602	FJI
Hong Kong	22.396428	114.109497	7067800	53	1092	47169	HKG
Indonesia	-4.7993356	114.5632032	239870937	50	1904570	4304	IDN
Japan	36.204824	138.252924	127450459	51	377940	33946	JPN
Kiribati	0.306	173.664834025	99546	null	810	2280	KIR
North Korea	40.3123959	127.399971	24346229	51	120540	null	PRK
South Korea	35.3985008	127.937111	49410000	50	99900	28829	KOR
Laos	20.0171109	103.378253	6200894	50	236800	2562	LAO
Macao	22.198745	113.543873	543656	52	28	63835	MAC
Malaysia	2.3923759	112.8471939	28401017	49	330800	15183	MYS
Micronesia	5.5600565	150.1982846	111064	49	700	3285	FSM
Mongolia	46.8250388	103.8499736	2756001	51	1564120	4010	MNG
Myanmar	17.1750495	95.9999652	47963012	51	676590	null	MMR
New Zealand	-41.3116998	174.9746507	4367800	51	267710	29692	NZL
Palau	6.0973669	133.3136306	20472	null	460	12805	PLW
Papua New Guinea	-5.6816069	144.2489081	6858266	49	462840	2456	PNG
Philippines	12.7503486	122.7312101	93260798	50	300000	3944	PHL
Samoa	-13.7332708	-171.9333697	183081	48	2840	4311	WSM
Singapore	1.357107	103.8194992	5076700	50	710	57791	SGP
Solomon Islands	-8.2622822	159.0048709	538148	48	28900	2692	SLB
Thailand	14.8971921	100.83273	69122234	51	513120	8500	THA
Timor-Leste	-8.5151979	125.8375756	1142502	49	14870	1436	TLS
Tonga	-19.1988696	-174.6044381	104058	50	750	4575	TON
Vanuatu	-17.6257077	168.4077147	239651	49	12190	4353	VUT
Vietnam	13.2904027	108.4265113	86927700	51	331050	3185	VNM
Afghanistan	33.0000866	64.9998468	34385068	48	652230	1082	AFG
Bangladesh	24.4768783	90.2932426	148692131	49	144000	1649	BGD
Bhutan	27.549511	90.5119273	725940	47	38390	5508	BTN
India	22.3511148	78.6677428	1224614327	48	3287260	3366	IND
Maldives	4.2218417	73.4867968	315885	50	300	8182	MDV
Nepal	28.1083178	84.0916787	29959364	50	147180	1200	NPL
Pakistan	30.3308401	71.247499	173593383	49	796100	2655	PAK
Sri Lanka	7.9090561	80.8338443	20653000	51	65610	5097	LKA
Taiwan	23.69781	120.960515	23234936	49	35980	36900	TWN
