"Time Name","Country Name","Population, total","Population, female (% of total)","Surface area (sq. km)","GDP per capita, PPP (current international $)"
"2010","American Samoa","68,420","..","200",".."
"2010","Australia","22,299,800","50","7,741,220","37,909"
"2010","Brunei Darussalam","398,920","49","5,770","50,409"
"2010","Cambodia","14,138,255","51","181,040","2,180"
"2010","China","1,337,825,000","48","9,600,000","7,553"
"2010","Fiji","860,623","49","18,270","4,602"
"2010","French Polynesia","270,764","49","4,000",".."
"2010","Guam","179,896","49","540",".."
"2010","Hong Kong SAR, China","7,067,800","53","1,092","47,169"
"2010","Indonesia","239,870,937","50","1,904,570","4,304"
"2010","Japan","127,450,459","51","377,940","33,946"
"2010","Kiribati","99,546","..","810","2,280"
"2010","Korea, Dem. Rep.","24,346,229","51","120,540",".."
"2010","Korea, Rep.","49,410,000","50","99,900","28,829"
"2010","Lao PDR","6,200,894","50","236,800","2,562"
"2010","Macao SAR, China","543,656","52","28","63,835"
"2010","Malaysia","28,401,017","49","330,800","15,183"
"2010","Marshall Islands","54,038","..","180",".."
"2010","Micronesia, Fed. Sts.","111,064","49","700","3,285"
"2010","Mongolia","2,756,001","51","1,564,120","4,010"
"2010","Myanmar","47,963,012","51","676,590",".."
"2010","New Caledonia","247,000","50","18,580",".."
"2010","New Zealand","4,367,800","51","267,710","29,692"
"2010","Northern Mariana Islands","60,917","..","460",".."
"2010","Palau","20,472","..","460","12,805"
"2010","Papua New Guinea","6,858,266","49","462,840","2,456"
"2010","Philippines","93,260,798","50","300,000","3,944"
"2010","Samoa","183,081","48","2,840","4,311"
"2010","Singapore","5,076,700","50","710","57,791"
"2010","Solomon Islands","538,148","48","28,900","2,692"
"2010","Thailand","69,122,234","51","513,120","8,500"
"2010","Timor-Leste","1,142,502","49","14,870","1,436"
"2010","Tonga","104,058","50","750","4,575"
"2010","Tuvalu","9,827","..","30",".."
"2010","Vanuatu","239,651","49","12,190","4,353"
"2010","Vietnam","86,927,700","51","331,050","3,185"
"2010","Afghanistan","34,385,068","48","652,230","1,082"
"2010","Bangladesh","148,692,131","49","144,000","1,649"
"2010","Bhutan","725,940","47","38,390","5,508"
"2010","India","1,224,614,327","48","3,287,260","3,366"
"2010","Maldives","315,885","50","300","8,182"
"2010","Nepal","29,959,364","50","147,180","1,200"
"2010","Pakistan","173,593,383","49","796,100","2,655"
"2010","Sri Lanka","20,653,000","51","65,610","5,097"
